front;back
a (prep.);to
abbastanza (avv.);enough
abbonamento (s.m.);subscription
abbracciare (v.t.);hug
abbraccio (s.m.);hug
abitante (s.m. - s.f.);inhabitant
abitare (v. int.);to live
accanto (avv.);next to
accendere (v.t.);to turn on
accendino (s.m.);lighter
accento (s.m.);accent
accomodarsi (v.int.pron.);take a seat
accompagnare (v.t.);accompany
acconto (s.m.);advance payment
accordo (s.m.);agreement
aceto (s.m.);vinegar
acido (agg.);acid
acqua (s.f.);water
acquistare (v.t.);acquire
addio (inter.);goodbye
addormentarsi (v.int.pron.);fall asleep
adesso (avv.);now
adulto/a (agg. - s.m. - s.f.);adult
aereo(aeroplano) (s.m.);airplane(airplane)
aeroporto (s.m.);airport
affetto (s.m.);affection
affettuoso (agg.);affectionate
affittare (v.t.);rent
affitto (s.m.);rent
agenzia (s.f.);agency
aggiungere (v.t.);add
aggiustare (v.t.);adjust
aglio (s.m.);garlic
agosto (s.m.);August
aiutare (v.t.);to help
aiuto (inter. - s.m.);help
alba (s.f.);sunrise
albergo (s.m.);hotel
albero (s.m.);tree
alcuno (agg.);any
alfabeto (s.m.);alphabet
alimentari (s.m. pl.);food
allegro (agg.);cheerful
allergico (agg.);allergic
alloggio (s.m.);accommodation
allora (avv.);at that time
almeno (avv.);at least
alto (agg.);tall
altro (pron. - agg.);other
alzarsi (v.rifl.);get up
amare (v.t.);to love
amaro (agg.);bitter
ambasciata (s.f.);embassy
ambulanza (s.f.);ambulance
ambulatorio (s.m.);clinic
amicizia (s.f.);friendship
amico/a (s.m.);friend
ammalarsi (v.int.pron.);get sick
ammobiliato (agg.);furnished
amore (s.m.);love
analisi (s.f.);analyses
anche (cong.);also
ancora (avv.);still
andare (v. int.);to go
anello (s.m.);ring
angolo (s.m.);corner
animale (s.m.);animal
anno (s.m.);year
annoiarsi (v.int.pron.);get bored
annuncio (s.m.);announcement
ansia (s.f.);anxiety
ansioso (agg.);anxious
anticipo (s.m.);advance
antico (agg.);ancient
antipasto (s.m.);appetizers
antipatico (agg.);unfriendly
anziano/a (agg. - s.m. - s.f.);elderly
aperitivo (s.m.);aperitif
appartamento (s.m.);apartment
appassionato (agg.);passionate
appena (avv.);as soon as
appetito (s.m.);appetite
appuntamento (s.m.);appointment
appunto (s.m.);precisely
aprile (s.m.);April
aprire (v.t.);to open
arancia (s.f.);orange
arancione (agg.);orange
argento (s.m.);silver
aria (s.f.);air
armadio (s.m.);wardrobe
arrabbiarsi (v.int.pron.);get angry
arrivare (v.int.);to arrive
arrivederci (inter.);until we meet again
arrivo (s.m.);i arrive
arrosto (s.m.);roast
arte (s.f.);art
articolo (s.m.);article
ascensore (s.m.);elevator
asciugamano (s.m.);towel
asciugare/si (v.t. – v.rifl. – v.t. pron.);dry/yes
ascoltare (v.t.);to listen
asilo (s.m.);asylum
aspettare (v.t.);to wait
aspro (agg.);harsh
assegno (s.m.);check
assolutamente (avv.);absolutely
attendere (v.t.);wait
attentamente (avv.);carefully
attento (agg.);careful
attenzione (s.f.);attention
attesa (s.f.);wait
attore/trice (s.m. - s.f.);actor/actress
attraversare (v.t.);cross
augurio (s.m.);wish
aula (s.f.);classroom
auto(mobile) (s.f.);car)
autobus (s.m.);bus
autostrada (s.f.);motorway
autunno (s.m.);autumn
avanti (avv.);forward
avaro (agg.);miserly
avere (v.t.);to have
avverbio (s.m.);adverb
azzurro (agg.);light blue
baciare (v.t.);kiss
bacio (s.m.);kiss
baffo (s.m.);mustache
bagaglio (s.m.);luggage
bagnare/si (v.t. - v.rifl.);wet/yes
bagno (s.m.);bathroom
balcone (s.m.);balcony
ballare (v.int.);dance
bambino/a (s.m - s.f.);child
bambola (s.f.);doll
banana (s.f.);banana
banca (s.f.);bank
banco (s.m.);bench
bancomat (s.m.);atm
banconota (s.f.);banknote
bar (s.m.);bar
barba (s.f.);beard
barca (s.f.);boat
basso (agg.);low
basta (inter.);enough
beh (inter.);well
bello (agg.);nice
bene (avv.);well
benvenuto (agg.);welcome
benzina (s.f.);gas
bere (v.t.);to drink
bianco (agg.);white
bibita (s.f.);drink
biblioteca (s.f.);library
bicchiere (s.m.);glass
bicicletta (s.f.);bicycle
biglietteria (s.f.);ticket office
biglietto (s.m.);ticket
bilancia (s.f.);balance
bilocale (s.m.);two-room apartment
binario (s.m.);tracks
biondo (agg.);blond
birra (s.f.);beer
bisognare (v.int.);to need
bisogno (s.m.);need
bistecca (s.f.);steak
blu (agg.);blue
bocca (s.f.);mouth
bocciare (v.t.);fail
bollente (agg.);boiling
bollire (v. int.);boil
borsa (s.f.);bag
bosco (s.m.);forest
bottiglia (s.f.);bottle
braccio (s.m.);arm
breve (agg.);brief
bruciarsi (v.t.pron.);get burned
brutto (agg.);ugly
buio (s.m.);dark
buonanotte (inter.);good night
buonasera (inter.);good evening
buongiorno (inter.);good morning
buono (agg.);good
burro (s.m.);butter
busta (s.f.);envelope
buttare (v.t.);to throw
cadere (v.int.);to fall
caffè (s.m.);coffee
calcio (s.m.);soccer
caldo (agg. - s.m.);hot
calma (s.f.);calm
calmarsi (v.int.pron.);calm down
calmo (agg.);calm
calza (s.f.);fits
cambiare (v.t. - v.int.);to change
camera (s.f.);room
cameriere/a (s.m.- s.f.);waiter
camicia (s.f.);shirt
camion (s.m.);truck
camminare (v.int.);to walk
campagna (s.f.);countryside
campeggio (s.m.);camping
camper (s.m.);camper
campo (s.m.);field
canale (s.m.);channel
cane (s.m.);dog
canguro (s.m.);kangaroo
cantante (s.m - s.f.);singer
cantare (v.t.);to sing
cantina (s.f.);cellar
canzone (s.f.);song
capace (agg.);capable
capello (s.m.);hair
capire (v.t.);to understand
capo (s.m.);boss
capodanno (s.m.);new year's
cappello (s.m.);hat
cappotto (s.m.);coat
cappuccino (s.m.);cappuccino
caricare (v.t.);to load
carne (s.f.);meat
carnevale (s.m.);carnival
caro (agg.);expensive
carota (s.f.);carrot
carta (s.f.);paper
cartolina (s.f.);postcard
cartone (s.m.);cardboard
casa (s.f.);house
casalingo/a (s.m. – s.f.);housewife
cassa (s.f.);earnings
cassettiera (s.f.);chest of drawers
castano (agg.);brown
cattivo (agg.);bad
causa (s.f.);cause
cavallo (s.m.);horse
cd (s.m.);cd
cellulare (s.m.);mobile phone
cena (s.f.);dinner
cenare (v.int.);have dinner
centimetro (s.m.);centimeter
centro (s.m.);center
cercare (v.t.);to look for
cerotto (s.m.);bandaid
certamente (avv.);certainly
cervello (s.m.);brain
che (pron. - cong.);that
check-in (s.m.);check in
chi (pron.);who
chiacchierare (v.int.);chat
chiamare/si (v.t. - v.int.pron.);call/yes
chiaro (agg.);clear
chiave (s.f.);key
chiedere (v.t.);ask
chiesa (s.f.);church
chilo (s.m.);kilo
chilometro (s.m.);kilometer
chiudere (v.t.);to close
ci (part. pron. – pron.);there
ciao (inter.);hi
cibo (s.m.);food
cielo (s.m.);sky
cimitero (s.m.);graveyard
cin cin (inter.);cheers. cheers
cinema (s.m.);cinema
cioccolato (s.m.);chocolate
cioè (cong.);meaning what
cipolla (s.f.);onion
circa (avv.);about
città (s.f.);city
classe (s.f.);class
classico (agg.);classic
cliccare (v.t.);click
cliente (s.m. - s.f.);customer
clima (s.m.);climate
clinica (s.f.);clinic
cognato/a (s.m. - s.f.);brother-in-law
cognome (s.m.);surname
coincidenza (s.f.);coincidence
colazione (s.f.);breakfast
collana (s.f.);necklace
collega (s.m. - s.f.);colleague
collegio (s.m.);college
collezionare (v.t.);collect
collezione (s.f.);collection
collina (s.f.);hill
colloquio (s.m.);interview
colorare (v.t.);color
colore (s.m.);color
colpa (s.f.);fault
coltello (s.m.);knife
come (avv.);how
cominciare (v.t. - v.int.);to begin
commedia (s.f.);comedy
commesso/a (s.m. - s.f.);clerk
comodino (s.m.);night table
comodo (agg.);comfortable
compagnia (s.f.);company
compagno/a (s.m. - s.f.);partner
compilare (v.t.);compile
compito (s.m.);task
compleanno (s.m.);birthday
complemento (s.m.);complement
completo (agg.);complete
complicare (v.t.);complicate
complimento (s.m.);compliment
comportarsi (v.int. pron.);behave
comprare (v.t.);to buy
computer (s.m.);computer
comune (s.m.);common
comunicare (v.t.);to communicate
comunicazione (s.f.);communication
comunque (cong.);anyway
con (prep.);with
concerto (s.m.);concert
concorso (s.m.);competition
condizionare (v.t.);condition
condoglianza (s.f.);condolence
condominio (s.m.);condominium
confine (s.m.);confine
confuso (agg.);confused
congratulazione (s.f.);congratulation
connettersi (v.rifl.);connect
conoscenza (s.f.);knowledge
conoscere (v.t.);to know
consegnare (v.t.);deliver
consigliare (v.t.);recommend
consiglio (s.m.);advice
consolato (s.m.);consulate
contante (s.m.);cash
contattare (v.t.);contact
contemporaneo (agg.);contemporary
contento (agg.);happy
continuare (v.t.);to continue
conto (s.m.);account
contorno (s.m.);side
conversazione (s.f.);conversation
coperta (s.f.);cover
copia (s.f.);copy
coppia (s.f.);couple
coraggio (inter.);courage
cordiale (agg.);friendly
cordialmente (avv.);cordially
corpo (s.m.);body
correggere (v.t.);correct
corrente (agg.);current
correre (v.int.);to run
corso (s.m.);course
corto (agg.);short
cosa (s.f.);what
costare (v.t.);cost
costo (s.m.);cost
costoso (agg.);costly
costruire (v.t.);to build
costruzione (s.f.);construction
così (avv.);like this
cotone (s.m.);cotton
credere (v.t.);to believe
credito (s.m.);credit
crema (s.f.);cream
crepare (v.int.);die
crociera (s.f.);cruise
crudo (agg.);raw
cucchiaio (s.m.);table spoon
cucina (s.f.);kitchen
cucinare (v.t.);to cook
cugino/a (s.m. - s.f.);cousin
cui (pron.);which
cultura (s.f.);culture
cuocere (v.t.);cook
cuore (s.m.);heart
curioso (agg.);curious
curriculum vitae (loc.sost.m.);curriculum vitae
cuscino (s.m.);cushion
da (prep.);from
dappertutto (avv.);everywhere
dare (v.t.);to give
data (s.f.);date
davanti (avv. - prep.);in front
davvero (avv.);really
debole (agg.);weak
decidere (v.t.);to decide
denaro (s.m.);money
dente (s.m.);tooth
dentifricio (s.m.);toothpaste
dentista (s.m. - s.f.);dentist
dentro (avv. - prep.);inside
deprimere (v.t.);depress
descrivere (v.t.);to describe
destra (s.f.);right
dettato (s.m.);dictated
di (prep.);of
dialetto (s.m.);dialect
dialogo (s.m.);dialogue
diario (s.m.);diary
dicembre (s.m.);December
dieta (s.f.);diet
dietro (avv.- prep.);behind
differente (agg.);different
difficile (agg.);difficult
dimenticare/si (v.t. - v.int. pron.);forget/yes
dipendere (v.int.);to depend
dipingere (v.t.);to paint
dipinto (s.m.);painting
diploma (s.m.);diploma
diplomarsi (v. int. pron.);graduate
